contig	start	stop	name
1	4268458	4268900	chr1:4268557:4268800:142379677
1	5310446	5310886	chr1:5310545:5310786:142379698
1	6690008	6690446	chr1:6690107:6690346:142380060
1	7571860	7572284	chr1:7571959:7572184:142380065
1	9425406	9425852	chr1:9425505:9425752:142380094
1	10400406	10400846	chr1:10400505:10400746:142380104
1	11174239	11174703	chr1:11174338:11174603:142380128
1	11184421	11184889	chr1:11184520:11184789:142380129
1	11187541	11187843	chr1:11187640:11187868:142380130
1	11187844	11188020	chr1:11187818:11188047:142380131
1	11188021	11188331	chr1:11187992:11188231:142380132
1	11189709	11190181	chr1:11189808:11190081:142380133
1	11190452	11190787	chr1:11190551:11190814:142380134
1	11190788	11191092	chr1:11190759:11190992:142380135
1	11217077	11217505	chr1:11217176:11217405:142380136
1	11297764	11298236	chr1:11297863:11298136:142380137
1	11298325	11298630	chr1:11298424:11298657:142380138
1	11298631	11298927	chr1:11298602:11298827:142380139
1	11300220	11300558	chr1:11300319:11300584:142380140
1	11300559	11300874	chr1:11300531:11300774:142380141
1	11307548	11307893	chr1:11307647:11307919:142380142
1	11307894	11308112	chr1:11307867:11308139:142380143
1	11308113	11308460	chr1:11308085:11308360:142380144
1	11319173	11319599	chr1:11319272:11319499:142380146
1	17424711	17425167	chr1:17424810:17425067:142380449
1	20491156	20491630	chr1:20491255:20491530:142380485
1	20963936	20964396	chr1:20964035:20964296:142380488
1	21133160	21133586	chr1:21133259:21133486:142380490
1	23031309	23031733	chr1:23031408:23031633:142380538
1	24938022	24938450	chr1:24938121:24938350:142380560
1	26704184	26704642	chr1:26704283:26704542:142380784
1	27107806	27108234	chr1:27107905:27108134:142380788
1	28319348	28319802	chr1:28319447:28319702:142380799
1	29519651	29520081	chr1:29519750:29519981:142380843
1	29533395	29533846	chr1:29533494:29533746:142380850
1	29719323	29719767	chr1:29719422:29719667:142380943
1	31770812	31771238	chr1:31770911:31771138:142381166
1	47583371	47583845	chr1:47583470:47583745:142382223
1	51822067	51822523	chr1:51822166:51822423:142379711
1	52266108	52266550	chr1:52266207:52266450:142379712
1	57449561	57450027	chr1:57449660:57449927:142380236
1	74507273	74507733	chr1:74507372:74507633:142380669
1	74673207	74673639	chr1:74673306:74673539:142380670
1	83147078	83147520	chr1:83147177:83147420:142380703
1	90401277	90401749	chr1:90401376:90401649:142380763
1	97279666	97280090	chr1:97279765:97279990:142380972
1	112323230	112323698	chr1:112323329:112323598:142381412
1	114680052	114680500	chr1:114680151:114680400:142381420
1	115251027	115251471	chr1:115251126:115251371:142381424
1	115252056	115252506	chr1:115252155:115252406:142381425
1	115256245	115256574	chr1:115256344:115256605:142381426
1	115256575	115256907	chr1:115256542:115256807:142381427
1	115258543	115259003	chr1:115258642:115258903:142381428
1	120457700	120457995	chr1:120457799:120458032:142381728
1	120457996	120458142	chr1:120457957:120458182:142381729
1	120458143	120458290	chr1:120458101:120458327:142381730
1	120458291	120458439	chr1:120458253:120458478:142381731
1	120458440	120458583	chr1:120458399:120458624:142381732
1	120458584	120458735	chr1:120458541:120458767:142381733
1	120458736	120458897	chr1:120458703:120458928:142381734
1	120458898	120459081	chr1:120458865:120459108:142381735
1	120459082	120459253	chr1:120459053:120459280:142381736
1	120459254	120459586	chr1:120459225:120459486:142381737
1	120461799	120462141	chr1:120461898:120462168:142381738
1	120462142	120462453	chr1:120462114:120462353:142381739
1	120464727	120465053	chr1:120464826:120465080:142381740
1	120465054	120465381	chr1:120465026:120465281:142381741
1	120509924	120510239	chr1:120510023:120510266:142381742
1	120510240	120510552	chr1:120510211:120510452:142381743
1	120539486	120539790	chr1:120539585:120539817:142381744
1	120539791	120540092	chr1:120539763:120539992:142381745
1	120547820	120548146	chr1:120547919:120548172:142381746
1	120548147	120548450	chr1:120548119:120548350:142381747
1	150550580	150550878	chr1:150550679:150550905:142382396
1	150550879	150551200	chr1:150550851:150551112:142382397
1	150551201	150551504	chr1:150551288:150551530:142382398
1	150551505	150551695	chr1:150551478:150551720:142382399
1	150551696	150551870	chr1:150551670:150551896:142382400
1	150551871	150552216	chr1:150551844:150552116:142382401
1	150619813	150620239	chr1:150619912:150620139:142382402
1	150730046	150730490	chr1:150730145:150730390:142382404
1	151917518	151917990	chr1:151917617:151917890:142382409
1	153001160	153001588	chr1:153001259:153001488:142382429
1	154401840	154402266	chr1:154401939:154402166:142382450
1	154573833	154574307	chr1:154573932:154574207:142382451
1	155870046	155870358	chr1:155870145:155870385:142382453
1	155870359	155870688	chr1:155870331:155870588:142382454
1	155873878	155874208	chr1:155873977:155874235:142382455
1	155874209	155874389	chr1:155874181:155874416:142382456
1	155874390	155874583	chr1:155874361:155874610:142382457
1	155874584	155874908	chr1:155874555:155874808:142382458
1	156202041	156202505	chr1:156202140:156202405:142382461
1	156314491	156314947	chr1:156314590:156314847:142382462
1	157621089	157621553	chr1:157621188:157621453:142382467
1	158484242	158484704	chr1:158484341:158484604:142382470
1	158621025	158621455	chr1:158621124:158621355:142382471
1	158624326	158624786	chr1:158624425:158624686:142382472
1	160246337	160246765	chr1:160246436:160246665:142382475
1	160886752	160887178	chr1:160886851:160887078:142382477
1	162303863	162304333	chr1:162303962:162304233:142382480
1	163802838	163803280	chr1:163802937:163803180:142382484
1	165353076	165353522	chr1:165353175:165353422:142382486
1	166950324	166950786	chr1:166950423:166950686:142382487
1	168574562	168575012	chr1:168574661:168574912:142382489
1	171138471	171138931	chr1:171138570:171138831:142382495
1	171767931	171768405	chr1:171768030:171768305:142382496
1	173399598	173400036	chr1:173399697:173399936:142382498
1	175325422	175325864	chr1:175325521:175325764:142382501
1	175362504	175362970	chr1:175362603:175362870:142382502
1	177381186	177381640	chr1:177381285:177381540:142379926
1	177901581	177902048	chr1:177901680:177901948:142379927
1	179354788	179355218	chr1:179354887:179355118:142379962
1	181032023	181032461	chr1:181032122:181032361:142379964
1	182403965	182404401	chr1:182404064:182404301:142379967
1	183842911	183843369	chr1:183843010:183843269:142379969
1	184851246	184851680	chr1:184851345:184851580:142379971
1	186471169	186471623	chr1:186471268:186471523:142379974
1	187840423	187840879	chr1:187840522:187840779:142379978
1	189139786	189140260	chr1:189139885:189140160:142379980
1	189620144	189620608	chr1:189620243:189620508:142379982
1	190082724	190083194	chr1:190082823:190083094:142379983
1	191176254	191176720	chr1:191176353:191176620:142379985
1	192730371	192730835	chr1:192730470:192730735:142379988
1	195739992	195740444	chr1:195740091:195740344:142379991
1	196658471	196658927	chr1:196658570:196658827:142379993
1	198469100	198469536	chr1:198469199:198469436:142379995
1	200284198	200284632	chr1:200284297:200284532:142379996
1	203509904	203510370	chr1:203510003:203510270:142379997
1	204506420	204506860	chr1:204506519:204506760:142379998
1	204507203	204507639	chr1:204507302:204507539:142379999
1	204511776	204512248	chr1:204511875:204512148:142380000
1	204513523	204513955	chr1:204513622:204513855:142380001
1	204515789	204516245	chr1:204515888:204516145:142380002
1	204518107	204518405	chr1:204518206:204518432:142380003
1	204518406	204518588	chr1:204518378:204518615:142380004
1	204518589	204518774	chr1:204518560:204518801:142380005
1	204518775	204519075	chr1:204518746:204518975:142380006
1	205336411	205336849	chr1:205336510:205336749:142380007
1	207300127	207300585	chr1:207300226:207300485:142380009
1	207758079	207758509	chr1:207758178:207758409:142380010
1	208300202	208300626	chr1:208300301:208300526:142380011
1	210468020	210468470	chr1:210468119:210468370:142380013
1	214476427	214476883	chr1:214476526:214476783:142380032
1	214962629	214963089	chr1:214962728:214962989:142380033
1	215339003	215339471	chr1:215339102:215339371:142380034
1	216989831	216990263	chr1:216989930:216990163:142380035
1	219001527	219001989	chr1:219001626:219001889:142380036
1	220275174	220275644	chr1:220275273:220275544:142380037
1	221345089	221345535	chr1:221345188:221345435:142380038
1	221874799	221875223	chr1:221874898:221875123:142380039
1	222553736	222554166	chr1:222553835:222554066:142380040
1	224284241	224284697	chr1:224284340:224284597:142380041
1	226795843	226796293	chr1:226795942:226796193:142380042
1	228119151	228119577	chr1:228119250:228119477:142380043
1	229205945	229206419	chr1:229206044:229206319:142380044
1	230725690	230726115	chr1:230725789:230726015:142380045
1	231656280	231656754	chr1:231656379:231656654:142380046
1	234137713	234138161	chr1:234137812:234138061:142380048
1	236700836	236701261	chr1:236700935:236701161:142380049
1	237685980	237686451	chr1:237686079:237686351:142380050
1	239857374	239857806	chr1:239857473:239857706:142380051
1	241159184	241159646	chr1:241159283:241159546:142380052
1	242561971	242562445	chr1:242562070:242562345:142380053
1	243675402	243675711	chr1:243675501:243675739:142380054
1	243675712	243676010	chr1:243675683:243675910:142380055
1	243708674	243709112	chr1:243708773:243709012:142380056
1	243715895	243716241	chr1:243715994:243716269:142380057
1	243716242	243716557	chr1:243716212:243716457:142380411
1	243726886	243727358	chr1:243726985:243727258:142380412
1	243736086	243736548	chr1:243736185:243736448:142380413
1	243778262	243778728	chr1:243778361:243778628:142380414
1	243800769	243801239	chr1:243800868:243801139:142380415
1	243809051	243809478	chr1:243809150:243809378:142380416
1	243827938	243828407	chr1:243828037:243828307:142380417
1	243858689	243859010	chr1:243858788:243859037:142380418
