#chrom	chromStart	chromEnd	name	gieStain
chr1	0	249250621	chr1	gneg
chr1	4268458	4268900	chr1:4268557:4268800:142379677	gpos100
chr1	5310446	5310886	chr1:5310545:5310786:142379698	gpos100
chr1	6690008	6690446	chr1:6690107:6690346:142380060	gpos100
chr1	7571860	7572284	chr1:7571959:7572184:142380065	gpos100
chr1	9425406	9425852	chr1:9425505:9425752:142380094	gpos100
chr1	10400406	10400846	chr1:10400505:10400746:142380104	gpos100
chr1	11174239	11174703	chr1:11174338:11174603:142380128	gpos100
chr1	11184421	11184889	chr1:11184520:11184789:142380129	gpos100
chr1	11187541	11187843	chr1:11187640:11187868:142380130	gpos100
chr1	11187844	11188020	chr1:11187818:11188047:142380131	gpos100
chr1	11188021	11188331	chr1:11187992:11188231:142380132	gpos100
chr1	11189709	11190181	chr1:11189808:11190081:142380133	gpos100
chr1	11190452	11190787	chr1:11190551:11190814:142380134	gpos100
chr1	11190788	11191092	chr1:11190759:11190992:142380135	gpos100
chr1	11217077	11217505	chr1:11217176:11217405:142380136	gpos100
chr1	11297764	11298236	chr1:11297863:11298136:142380137	gpos100
chr1	11298325	11298630	chr1:11298424:11298657:142380138	gpos100
chr1	11298631	11298927	chr1:11298602:11298827:142380139	gpos100
chr1	11300220	11300558	chr1:11300319:11300584:142380140	gpos100
chr1	11300559	11300874	chr1:11300531:11300774:142380141	gpos100
chr1	11307548	11307893	chr1:11307647:11307919:142380142	gpos100
chr1	11307894	11308112	chr1:11307867:11308139:142380143	gpos100
chr1	11308113	11308460	chr1:11308085:11308360:142380144	gpos100
chr1	11319173	11319599	chr1:11319272:11319499:142380146	gpos100
chr1	17424711	17425167	chr1:17424810:17425067:142380449	gpos100
chr1	20491156	20491630	chr1:20491255:20491530:142380485	gpos100
chr1	20963936	20964396	chr1:20964035:20964296:142380488	gpos100
chr1	21133160	21133586	chr1:21133259:21133486:142380490	gpos100
chr1	23031309	23031733	chr1:23031408:23031633:142380538	gpos100
chr1	24938022	24938450	chr1:24938121:24938350:142380560	gpos100
chr1	26704184	26704642	chr1:26704283:26704542:142380784	gpos100
chr1	27107806	27108234	chr1:27107905:27108134:142380788	gpos100
chr1	28319348	28319802	chr1:28319447:28319702:142380799	gpos100
chr1	29519651	29520081	chr1:29519750:29519981:142380843	gpos100
chr1	29533395	29533846	chr1:29533494:29533746:142380850	gpos100
chr1	29719323	29719767	chr1:29719422:29719667:142380943	gpos100
chr1	31770812	31771238	chr1:31770911:31771138:142381166	gpos100
chr1	47583371	47583845	chr1:47583470:47583745:142382223	gpos100
chr1	51822067	51822523	chr1:51822166:51822423:142379711	gpos100
chr1	52266108	52266550	chr1:52266207:52266450:142379712	gpos100
chr1	57449561	57450027	chr1:57449660:57449927:142380236	gpos100
chr1	74507273	74507733	chr1:74507372:74507633:142380669	gpos100
chr1	74673207	74673639	chr1:74673306:74673539:142380670	gpos100
chr1	83147078	83147520	chr1:83147177:83147420:142380703	gpos100
chr1	90401277	90401749	chr1:90401376:90401649:142380763	gpos100
chr1	97279666	97280090	chr1:97279765:97279990:142380972	gpos100
chr1	112323230	112323698	chr1:112323329:112323598:142381412	gpos100
